"palabra","positivo","negativo","sentimiento"
"encantaron quedan hermoso aparte cómodos u recomiendo producto",0,0,0
"encantaron quedan hermosos bellisimos compré dos u recomiendo producto",0,0,0
"encantaron si bien mom cómodos tiro alto muuuuy elástica dos normalmente pedí quedaron grandes ahora pedí negro ver tal u recomiendo producto",0,8,0
"encantaron si pequeños pedir dos tallas usualmente pantalón negro llena pelusas lindos",0,3,0
"encantaron súper cómodas correr hacer deporte caminatas largas u recomiendo producto publicada originalmente adidascom",1,0,1
"encantaron súper comodas recomiendo zapatillas adidas buenas u recomiendo producto publicada originalmente adidascom",0,0,0
"encantaron super cómodos amo marca seguiré comprando u recomiendo producto publicada originalmente adidascom",0,0,0
"encantaron súper cómodos vestidores esperaba u recomiendo producto publicada originalmente reebokcom",0,0,0
"encantaron talla perfecta tal pagina u recomiendo producto publicada originalmente reebokcom",0,0,0
"encanto ¡ ¡ excelente producto hice budín zapallitos italianos quedo gratinado exquisito recomiendo todas maneras además económico gasta casi electricidad",8,0,1
"encanto aceite podido hacer papa fritas crujientes aros cebolla quedan súper ricos crujientes demora min sale olor encanto comprano necesario traiga manual recetas puedes buscar internet fácil usar limpia rápidamente",3,3,0
"encanto además bello buenísimo u recomiendo producto",1,0,1
"encantó además ser linda fácil utilizar guardar potente momento preparar licuados",3,0,1
"encantó ahorraria espacio xq guardaría muchas cosas u recomiendo producto",1,0,1
"encantó alta elegante colchón firme cómodo realmente buenísima recomiendo",3,0,1
"encanto bello súper cómodo compre jeans color azul tela súper elástica recomiendo u recomiendo producto",2,0,1
"encantó bien ajusta cuerpo u recomiendo producto",0,0,0
"encanto buen producto super herramienta huso casa tareas cosas trabajo u recomiendo producto",4,0,1
"encanto buena cama colchón fabuloso recomiendo u recomiendo producto",1,0,1
"encantó calce recomiendo ojos cerrados ideal época calor tela delgada u recomiendo producto",0,0,0
"encanto cama colchon buenofirme",1,0,1
"encanto cama comoda da descanso reparador aparte buen precio u recomiendo producto",1,0,1
"encantó cama incómodo armado patas hermosa super buena u recomiendo producto",2,1,1
"encanto cama si bien colchon senti duro principio ahora problema llevo alrededor meses perfectas condiciones",1,2,0
"encanto cama super comoda",1,0,1
"encanto cama super cómoda llego fecha indicada problemas",1,0,1
"encanto capacidad practico cuece bien",4,0,1
"encanto colchón esperaba medidas exactas liviano trasladar u recomiendo producto",2,0,1
"encantó colchón principio encontré duro cómodo despierto dolor espalda u recomiendo producto",0,16,0
"encantó colchón sufro lordosis definitivamente súper buena compra además grata sorpresa si mueves persona sientelo ideal si persona mueve noche finalizar emoción colchón viene funda lavable u recomiendo producto",2,0,1
"encantó colchón super recomendable u recomiendo producto",2,0,1
"encanto colchóncumple queríafirme suave recomendable",2,0,1
"encanto color comodidad colchón poder separar camas solo usar camarote",2,0,1
"encantó color cómodos elaticados quedaron perfectos",0,0,0
"encanto color modelo además excelente calidad",3,0,1
"encanto comida calidad excelente precio u recomiendo producto publicada originalmente adidascom",3,0,1
"encanto cómoda fácil utilizar queda riquísimo pan u recomiendo producto",1,1,0
"encanto cómodos talla perfecta compre uso siempre quedaron bien excelente compra entrega rápida u recomiendo producto",6,0,1
"encanto comodoya despierto dolor espalda u recomiendo producto",1,7,0
"encantó comprado varios jeans sybillapero primero adapta figura además sentirse súper cómodo compren talla normal u recomiendo producto",0,0,0
"encanto comprar online rápido productos venía perfecto u recomiendo producto publicada originalmente sodimaccl",2,0,1
"encanto compre azul claro duro casi año ahora quiero comprar deja seleccionar talla sale error favor arreglen u recomiendo producto",1,3,0
"encantó compre color azul queda lindo aunque tan estilo mom compre talla queda súper bien tome cuenta comentarios súper elasticados llegaron tiempo pronosticado super buen comprare blanco ahora",6,0,1
"encantó compré hacer panecito sur vivo montañas compañero ideal",6,0,1
"encantó compre jeans color azul talla normal guié comentarios compre misma talla quedó perfecto tiro alto cómodos decir u recomiendo producto",1,1,0
"encantó compré negro tela jean tela pantalón igual súper elástica do súper alto quedó corto mido pedí talla quedo excelente u recomiendo producto",1,4,0
"encantó conchón cómodo buena calidad excelente compra llegó fecha pactada u recomiendo producto",1,0,1
"encantó cosas quedan ricas crujientes",0,0,0
"encanto diferente versión anterior wifi marcaba rodillo funciona estupendo u recomiendo producto",1,0,1
"encanto diseño espaciosa bello color respaldo veladores",1,0,1
"encanto diseño lindo además cómodo niñas feliz compra encanto diseño cómoda felices ahora cada cama dormitorio u recomiendo producto",4,0,1
"encantó evito salir compras momento fácil utilizar variadas recetas u recomiendo producto",1,0,1
"encantó excelente colchón base buena fácil armar llegó fecha programada base separada peso colchón mueven feliz compra u recomiendo producto",4,1,1
"encantó excelente compra además viene muchas recetas",1,0,1
"encantó fácil trasladar hacer aseo blandito agradable dormir u recomiendo producto",10,0,1
"encantó fácil usar alimentos quedan exquisitos hace porciones pequeñas ideal dos tres persona funcionamiento recomiendo",1,0,1
"encanto fácil usar mejor puedo mandar imprimir trabajo impresora correo propio u recomiendo producto",3,0,1
"encanto firme comodo buena calidad gran tamaño altura u recomiendo producto",3,0,1
"encantó funcionamiento roku aparte youtube netflix pueden explorar opciones interesantes u recomiendo producto",0,0,0
"encanto generalmente pedi talla quedo perfecto modelo color azul tela buena calidad tan delgada menos modelo color azul recomiendo pidan talla habitual si bien tiro alto parte trasera pareciera quedar ma corta",3,1,1
"encanto hace meses compro pan queda ma rico maquina sigo instrucciones recetas u recomiendo producto",1,1,0
"encantó hace tiempo andaba busca freidora aire encuentro mejor opción preparar comidas saludables recomiendo",1,0,1
"encanto hago pan días encanta pan gordito caliente sale silenciosa siente viva pan viva máquina gracias dios maravilla ahora comiendo pan mantequilla adicto saldré rodando casa feliz viva pan",6,1,1
"encanto hija papa sabemos niña die gusta muchísimo calzado haz atinado aspectos pueda considerar estilo comodidad etc pondrá aprueba durabilidad u recomiendo producto publicada originalmente adidascom",8,0,1
"encanto hise primeras papitas quedaron buenismas poner ma papa grandes picadas si llena bandeja esencial mover pasado mitad tiempo queden doradas ambos lados u recomiendo producto",3,0,1
"encantó hornito hago dia medio pan facil trae guia distintos tipos programa hago numero hace pan minutos sale riquisimo programas horas ahora queda programa gusta ma publicada originalmente falabellacomar",0,1,0
"encantó horno además grande súper rápido recomendable",2,0,1
"encantó horno cada vez fabricante preocupa mejorar fabricación u recomiendo producto publicada originalmente sodimaccl",5,0,1
"encanto horno totalmente agrado hago pollo caro rojas caliento pan funcionado bien meses cómodo puedes instalar cualquier lugar ocupa espacio",2,4,0
"encanto jeans ideales mujeres bajitas compre talla normal quedaron bien necesidad hacerle basta bastante cómodos u recomiendo producto",2,0,1
"encanto justo esperaba ahora descansar tranquilo have u recomiendo producto",8,0,1
"encantó llega rápido recomiendo iphone carga rápida encanta u recomiendo producto",0,1,0
"encantó llevo dos meses horno ocupo días caro verduras quedan punto bandejas sistema caigan mientras saca evita accidentes fondo curvo permite hacer pizza grandes redondas puede limpiar manera fácil liviano espiedo funciona bkn simplemente ame recomiendo",6,4,1
"encantó mac super liviano rápido sentidos",0,0,0
"encantó máquina entretenida puede hacer muchas recetas u recomiendo producto",1,0,1
"encantó máquina hace dos meses momento funcionado bien primer pan hice subió quedó delicioso ocupando preparar yogurt bien ahora",4,1,1
"encantó máquina pan quedó bueno primerame salió chico recién aprendiendo programarahora voy segundo pancito deben seguir instrucciones quedará rico recomiendo totalmente",3,1,1
"encanto mejor compra hecho llevo todas pars servido facil usar u recomiendo producto",1,0,1
"encantó mejor tiempo cocción rápido gota aceite pueden hacer papa fritas papa duquesa nugget sopaipillas u recomiendo producto",2,2,0
"encantó modelo cómodo realmente favorece iré negro ahoraademas entrega rapidísima díame sorprendieroncarita feliz falabella u recomiendo producto",6,6,0
"encanto modelo estilo mom así holgado talla aseguré comprando quedó perfecto tela gruesa así trasluce ropa interior doy u recomiendo producto",12,0,1
"encanto modelo queda bien cómodo llego súper rápido u recomiendo producto",2,0,1
"encanto modelo repongan ma tallas modelos estan hermosos u recomiendo producto",4,0,1
"encanto ningún problema llego día acordado",1,1,0
"encantó ocupado ocasiones siguiendo exactamente medidas recetario pan queda delicioso planificar tiempo recetas demoras h medium suba pan vale totalmente pena esfuerzo",5,2,1
"encantó pan queda super esponjoso si busque recetas youtube libro salen recetas gramos queria tazas cucharadas",0,1,0
"encanto pan sale exquisito probando recetas elegir ma guste fácil usar mejor ensucias",2,1,1
"encanto panificadora si bien trae recetario tutoriales recetas internet sirven u recomiendo producto",1,0,1
"encanto pantalón linda tela color embargo talla indicada dejé llevar comentarios acá pedí talla uso generalmente quedó grande u recomiendo producto",1,1,0
"encantó pantalon super comodo color lindo aunque unico si talla habitual quedó grande mundo u recomiendo producto",1,0,1
"encantó papa fritas quedan exquisitas hago aceite ojo cada cierto rato revolver pechuga pollo deshuesada mejor momento solo probado recomindo",1,0,1
"encantó papa fritas quedan increíbles",1,0,1
"encantó papa quedan crujientes ricas envidiar fritura aceite mejor sano",3,0,1
"encanto parlante buscaba volumen durará batería fácil transportar cumple u recomiendo producto",1,1,0
"encanto pecio calidad tamaño justo persona crujientes importante papa bien secas recomiendo u recomiendo producto",4,0,1
"encanto pedí azul clarito pedí talla menos quedo bien u recomiendo producto",2,0,1
"encantó pedí talla negro super elásticado talla correcta tallas pequeñas parece mom jeans si muchas piernas queda justo quizás alguien quede holgado vea mom jeans buena tela grueso elásticado quiero azul recomiendo u recomiendo producto",4,6,0
"encanto producto cumple expectativas tenia buena potencia recomiendo producto u recomiendo producto",2,0,1
"encantó producto cumple promete colchón cómodo diseño cama bello completamente conforme compra",2,0,1
"encantó producto cumplió expectativas recomendable comer pan calentito mejor maquina súper fácil usar limpiar",3,1,1
"encanto producto entrega rapida menos semanas u recomiendo producto publicada originalmente adidascom",2,0,1
"encanto producto excelente u recomiendo producto publicada originalmente sodimaccl",2,0,1
"encanto producto fácil manipular limpiar permite realizar actividades mientras prepara pan recomiendo u recomiendo producto",2,2,0
"encantó producto sirvió transformar televisor hd antiguo smart tv hizo evitar comprar televisor nuevo cumpliera expectativas hoy día usando fácil instalar utilizar u recomiendo producto publicada originalmente sodimaccl",0,3,0
"encantó producto u recomiendo producto",0,0,0
"encanto puedo hacer muchas cosas recetario basico prefiero sacar recetas youtube general cumplio expectativas u recomiendo producto",3,0,1
"encanto queda lindo puesto talla talla correcta aún elásticados queda bien u recomiendo producto",4,0,1
"encantó queda perfecto tipo cuerpo referencia mido largo llega abajo tobillos talla quedó perfecta u recomiendo producto",1,0,1
"encantó queda super cómodo aprieta super ajustado cuerpo compré color celeste amé u recomiendo producto",1,0,1
"encanto rápida excelente impresión",2,0,1
"encantó rápido liviano u recomiendo producto",0,0,0
"encanto rápido trabajar puedo llevar todas pars liviano puedo entretenerme trabajar vez fascinada u recomiendo producto",1,0,1
"encanto resultado ojo seguí pie letra manual pan quedó bien parecía queque así solo agregué cantidad harina mencionada sal levadura azúcar disminuí cantidad quedaba dulce cambie huevo leche aceite oliva así obtuve pan crujiente esponjoso vegano",4,4,0
"encantó rica tela queda bien único súper cortito alguien alta bajita quede conforme feliz compra u recomiendo producto",1,0,1
"encanto smarttv quedo obsoleto aplicaciones cromcrast ayudo recuperar youtube netflix corre bien u recomiendo producto",2,0,1
"encantó súper cómodo compre comentarios decían elásticado claro quedó perfecto talla buena compra u recomiendo producto",1,0,1
"encanto super elastico comodo buenisima compra recomiendo color azul hace tiempo compre negro misma talla gusto duro material ademas ser talla pequeña deben comprar talla ma si quieren comprar negro azul decir buen calce u recomiendo producto",2,4,0
"encanto super practico llevar colegio llevar hija hace deporte comodo facil lavar hago distintos jugos hijos familia encanto u recomiendo producto",3,0,1
"encanto super practico rápido ahorra monton tiempo cocina",1,0,1
"encanto súper practicum re fácil usar aplicación hp smart u recomiendo producto",1,0,1
"encanto tamaño además escucha excelente",2,0,1
"encanto tamaño espacios pequeños queda excelente sorprendió q pudiera escanear incluso carnet identidad fácil configurar ser inalámbrica excelente único q cartuchos q vienen muestra así q duran quisiera verdad impresora excelente u recomiendo producto",4,0,1
"encantó tela cómodos u recomiendo producto",0,0,0
"encanto tela espectacular quedan hermosos u recomiendo producto",2,0,1
"encanto tieo alto ajustado calce perfecto lindo color talla exacta u recomiendo producto",3,1,1
"encantó todavía tinta original mayo parece acabarse u recomiendo producto",0,0,0
"encanto u recomiendo producto",1,0,1
"encantó u recomiendo producto",0,0,0
"encanto verdad deje guiar video comentarios realmente buen parlante practico suena super ademas opción conectar mismos sonido estéreo si super encantooo",3,0,1
"encantóes blandita vez mantiene forma suave comoda",2,0,1
"encantoo elasticado pedí talla menos quedó cómodo lindo incluso si pedido tallas menos entrado bien recomiendo precio uba buena compra u recomiendo producto",2,0,1
"encantoooo justo necesitaba espalda completamente recomendado duro colchón acomoda cuerpo recomiendo persona peso puede perder tensión u recomiendo producto",10,12,0
"encantoooo pan queda delicioso integral agrego semillas nueces queda suuper rico hice aceite oliva feliz compra u recomiendo producto",4,1,1
"encantóya color lindo material superó expectativas u recomiendo producto",1,0,1
"encargamos febrero llego retraso dia super cumplidores llego encargué febrero fecha llegada marzo llego marzo llegó optimas condiciones todas pars dificil armarigual encargue dudas comentarios q leu comprarla deje llevar positivos razon cama excelente calidad ningun problema quede conforme u recomiendo producto",1,5,0
"encarge talla porq habia sorpresa llegaron tienda ma cercana cerrada cuarentena solo dias cambio creo perdere u recomiendo producto",2,0,1
"encargo color gris oscuro talla peso kg quedó super bien aunque da comprar pedido llegó tiempo mala calidad elasticados recomiendo u recomiendo producto",2,1,1
"encargo compre comedor trabajoes uso comúncalienta rápido encontré excente valorme permitió comprar cosas u recomiendo producto publicada originalmente sodimaccl",0,0,0
"encargué militar menos mal seguí comentarios menos modelo grande contrario pequeño debe ser tela rígida casi elasticado gusto color hermoso bien grueso últimamente comprado quedaban cómodos sueltos modelo apenas cierra espero uso u recomiendo producto",2,7,0
"encargué negro quedo súper largo justo mido quedó tobillo súper pitillo ser elasticado bien cómodo",1,3,0
"encargue verde destiño tiempo aprox mes",2,0,1
"encontré estilo mom compré blanco talla compré quedara holgado quedó demasiado grande quedó chico así cambiarlos modelo buena elección",8,0,1
"encuentro dispositivo",0,0,0
"encuentro excelente presentacion derrama agua servir tapa queda presion u recomiendo producto",1,1,0
"encuentro super desconforme producto segunda vez bloquea maquina menos año respecto calidad impresion decir rendidora caso venia cable conección",0,1,0
"enserio comprar producto espera calidad quedar conforme caso base venía rasgada sonido horrible vez box parece cama madera antiguas empresa falabella hace responsable mandaron técnico cic ahí dicen información dada correcta mal producto mala respuesta falabella decilucionada",2,11,0
"entraron sitio falabella colombia falabellacomco entrar falabellacl u recomiendo producto publicada originalmente falabellacomco",0,0,0
"entrega armado super rápido cama cómoda",2,1,1
"entrega demoró día fácil conectar debe crear cuenta pide alguna tarjeta buena app además trae control remoto u recomiendo producto",2,0,1
"entrega demoro menos dias ma esperado cuanto colchon comodo suave deformo pronto buena compra puntos escenciales",1,0,1
"entrega día dijeron producto excelente cumplió expectativas mejor cualquier smart tv",2,0,1
"entrega fecha indicada producto maravilla funciona super rapido unico principio actualizacion demoró unas horas luego ningun problema usando telefono control recomiendo",2,1,1
"entrega hizo tiempo estipulado color jeans tal foto pedí talla s según tabla medidas problemas have bastante elásticado diría incluso leve efecto push up u recomiendo producto",2,0,1
"entrega rápida cama cómoda tamaño perfecto",2,0,1
"entrega rápida excelente producto",2,0,1
"entrega rápida producto cumple expectativas queríamos convertir tv smart tv funciono",2,0,1
"entrega rápido fácil instalar versátil puedes mover facilidad encanta color respaldo u recomiendo producto",2,0,1
"entrega según planeado llegaron buenas condiciones distintas pars buen producto colchón comodo base respaldar firmes",1,0,1
"entrega súper rápida talla perfecta equivocaron color",1,0,1
"entrega tiempo establecido cómodo buen material recomendado",2,0,1
"entregado tiempo have buena calidad producto",0,0,0
"entregaron armado costo adicional buen precio lindo color entrega dentro tres dias compra rapido",3,1,1
"envidiar marcas u recomiendo producto",0,0,0
"envíe hacer unas camas hijos sirvió bastante tamaño colchón recomiendo q fijen medidas pq medidas mismo modelo espero ganarme gif card q promete falabella correos",3,0,1
"envíe regalo mamá diseño compacto quedó perfecto mueble medida fácil usarella feliz u recomiendo producto publicada originalmente sodimaccl",3,0,1
"envío demoro misma zapatilla cumple toda expectativa cómoda servido entrenamientos cinta u recomiendo producto publicada originalmente adidascom",2,0,1
"envio llego justo fecha estipulada colchon buena calidad encargue abuelita encanto",2,0,1
"envió malo pagué llegara sábado recién llego ayer producto encantó hice pan quedo excelente compré pensando hacer mermelada prueba final decir amo producto",3,2,1
"envió rápido si bien viene base enchufe carga cualquier alternativa suena bose u recomiendo producto",0,1,0
"epsoncl baratas u recomiendo producto",0,0,0
"equipo básico cumple función promete opinión personal limitado depende absolutamente smartphone tablet",0,1,0
"equipo bastante liviano practico cumple requerimientos poder realizar trabajos oficina utilizando diversos programas forma simultanea ma hoy dia tocado hacer teletrabajoy equipo funcionado perfección velocidad bastante optimum u recomiendo producto",3,1,1
"equipo bueno señala explicitamente excepto señalar modelo hace tres años",4,0,1
"equipo cumple expectativa si tamaño perfecto u recomiendo producto publicada originalmente sodimaccl",2,0,1
"equipo fácil manejo buen sonido permite realizar tarea domesticas motivado llevo paseos aire libre funciona excelente u recomiendo producto",2,0,1
"equipo fantástico si bien memoria amplia disco externo sd solucionas trae office debes comprarla compre versión perpetua duración año batería duradera tiempo encendido reposo segundos maravilloso precio inflado compre verano nadie pesca productos salió u recomiendo producto",5,1,1
"equipo liviano fácil utilizar u recomiendo producto",0,0,0
"equipo moderno excelente rendimiento u recomiendo producto",1,0,1
"equipo poca memoria venía varias fallas puertos usb leen pendrive",0,0,0
"equipo primer uso recalienta equipo funciona debe ser permitió terminar funcionamiento defectuoso publicada originalmente falabellacomco",0,2,0
"equipo rápido ligero sobrecalienta batería dura bastante encanta u recomiendo producto",1,0,1
"equipo viejo",0,0,0
"equipos apple geniales u recomiendo producto",0,0,0
"equipos bastante buenos claramente visible estructuralmente tambiufffdn uso si necesidad window posible instalar programa tener mac cuantos sistemas operativos quieras mufffdo mufffds aufffdo jamufffds formateado funciona igual compre recomiendo u recomiendo producto",1,0,1
"escogí negro tela buena calidad llego perfectas condiciones u recomiendo producto",0,6,0
"escribo preguntar tornillos plateados caja respaldo podrían indicar parte van recién armando cama u recomiendo producto",0,0,0
"escucha bien malo desconecta cada rato recomiendo",0,1,0
"escucha bien uso practico calidad bajos increíble u recomiendo producto",0,0,0
"escuchan bien buen alcanceel folleto explicativo viene varios idiomas nunca encontré leer español",0,0,0
"escuchan bien puede conectar iphone",0,0,0
"escuchan bien tienden salirse dado mismo modelo adquirí según página problemas devolver producto original",1,0,1
"espacio almacenar frazadas cobertores cosas super buen producto u recomiendo producto",0,0,0
"espacio baúl bueno colchón bastante cómodo así recomendable ojo compré cada vez veo caro u recomiendo producto",6,1,1
"espacioso aunque muuuy pesado colchon duro viene ningun instructivo armado vez armado di cuenta esquinas base roto descosido verdad dio lata devolverlo costó entrarlo habitación sacarlo nuevo opción",3,4,0
"espacioso calienta rápido excelente producto u recomiendo producto",4,0,1
"espacioso fácil limpiar bajo consumo u recomiendo producto",2,0,1
"espalda duele duermo rebotas cama elástica duro recomendaría peor enemigo hace año ahora usando cuarentena horrible",1,10,0
"especifica trae veladores desarmados instalan cama cosa marca mismo nivel servicio hacen solicitan pago extra armado buen servicio considerando valor ligero material veladores",10,4,1
"espectacular cama cómoda acogedora recomendable",1,0,1
"espectacular desempeño producto tablet recomendable",1,0,1
"espectacular práctico fácil usar tamaño justo u recomiendo producto publicada originalmente sodimaccl",1,0,1
"espectacular prectico u recomiendo producto publicada originalmente sodimaccl",0,0,0
"espectacular queques quedan guacala u recomiendo producto",0,0,0
"espectacular rico pan internet existen recetas compatible maravilla",2,1,1
"espectacular usarlo clases reunión desplaza realmente lápiz convencional uso cotidianamente actividades recomiendo alguien cuidadoso estilo u recomiendo producto",2,0,1
"espectacular viendolo puesto hermoso lindos u recomiendo producto publicada originalmente reebokcom",0,0,0
"espectativas cumplidas udo diario recomendable u recomiendo producto publicada originalmente sodimaccl",2,0,1
"espera cama precio entrega acuerdo acordado u recomiendo producto",4,0,1
"espera comprar producto calidad peor experiencia camas base pésimas condiciones q comprar dos colchones corregir gracias cama llevo menos años dolor espalda constante",1,8,0
"esperaba",0,0,0
"esperaba bastante alta base firme tener patas ayuda dar firmeza buen producto",6,0,1
"esperaba buena calidad imagen súper rápido fácil instalar recomendado u recomiendo producto",0,0,0
"esperaba buena decisión comprarla",0,0,0
"esperaba cómoda notum buena calidad recomiendo totalmente rango precio u recomiendo producto",0,0,0
"esperaba comprar notebook mac u recomiendo producto",0,0,0
"esperaba considerando relación precio calidad fácil operar u recomiendo producto",0,0,0
"esperaba demora horas hacer pan recetas buenas contiene azúcar pan queda duro dentro desarma si pars caliente marcas q minutos listo",1,2,0
"esperaba fácil usar limpiar u recomiendo producto",2,0,1
"esperaba funcional solido cabeceras buen toque comodidad faltaron sabanas comprarlas ancho colchonen fin u recomiendo producto",1,0,1
"esperaba linda cómoda armado fácil contenta compra u recomiendo producto",1,1,0
"esperaba maravillosa guie recetario bien",0,0,0
"esperaba precio calidad u recomiendo producto",0,0,0
"esperaba super práctico fácil usar",0,0,0
"esperaba tela llena pelusas menos negro jeans olor extraño mal calidad igual barato comprado jeans misma marca mejores",2,10,0
"esperababuena marca espacioso bonito recomendado compañeros trabajo u recomiendo producto publicada originalmente sodimaccl",3,0,1
"esperabagrande lindo rápido cocinarlo recomiendo u recomiendo producto",1,0,1
"esperábamos colchón ma grueso cómodo menos ser nuevo cumplio expectativas casi meses compra principio mala experiencia",0,0,0
"esperado dada marca producto llegó rápido publicada originalmente falabellacomco",0,0,0
"esperado producto have ligero respaldo celadores frágil colchón poca densidad recomiendo",0,0,0
"esperando viernes llegue fecha recibido publicada originalmente sodimaccl",1,0,1
"esperare mañana comprarla encanto u recomiendo producto",1,0,1
"esperas macbook u recomiendo producto",0,0,0
"espero sirva comentario talla compre azul quedaron excelente jeans tela gruesa elásticado tiro medio alto justo ombligo mido largo quedaron bien exactamente foto general lindos cómodos u recomiendo producto",3,1,1
"espetacular cama comoda u recomiendo producto",0,0,0
"esposa feliz horno ocupó hacer queque ser primera vez usa quedó bien recomiendo aprender regular temperatura adecuada cocción listo saludos u recomiendo producto publicada originalmente sodimaccl",4,0,1
"esquisitos tela super comoda preciosos mejor pantalón u recomiendo producto",0,0,0
"estan buenos precio escuchan fuerte",0,0,0
"éste hervidor hace meses hace par días empezó filtrar zona medición agua además costó muchísimo eliminar olor plástico interior dejando agua mal sabor pesar haberse limpiado específica fabricante hervidor menos tiempo durado tan uso",4,6,0
"éste horno genial tamaño perfecto rápido llegar temperatura óptimapuedo cocinar ricas comidas mejor cocer pan congelado pocos minutos u recomiendo producto publicada originalmente sodimaccl",2,1,1
"esteticamente bonito medidas descripciones parecer verlo fisicamente have ma pequeño indica medidad",0,0,0
"estéticamente hermoso velador respaldo colchón año tremendo oyó pésima calidad",0,1,0
"estilo encanta supero expectativas estilo hermoso u recomiendo producto publicada originalmente reebokcom",1,0,1
"estilo genial ven diferente bonitos cómodos color totalmente igual llegan u recomiendo producto publicada originalmente reebokcom",2,0,1
"estimados maquina genial compre evitar gluten uso harina arroz pricipio sabia pasaria expectativas ahora uso casi diario hacerme pan queques quedan espectaculares baratos ricos recomiendo toda costa",3,3,0
"estimadosquisiera saber si cama cuja viene colchónen imágen sale colchón ficha técnica die éste garantía mesesgracias u recomiendo producto",0,0,0
"estrella daría pésimo duro menos amor ex",2,1,1
"estructura base buena general estética producto decir cuanto colchón bueno mitad colchón unido quedo marca semanas uso recomienda cambiarlo posición cada semanas",7,0,1
"estructura cama excelente colchón pésimo duro año comprar q viene cama hundió demás bien",2,1,1
"estructura interna cm angosta colchón siente borde resortes espuma baja densidad delgada",1,2,0
"estructura patas calidad regular deben ser reforzadas tornillos extra respaldo bonito queda alto debe hacerse perforaciones nuevas colchón excelente calidad u recomiendo producto",8,2,1
"estudie bastante comprar cama nueva llegue modelo interesaba beneficiosa espalda precio buenísimo compre llego casa fácil subir tercer piso escaleras sencilla instalación patas modelo lindo alta verdad have grande cama duermo maravilloso encanto u recomiendo producto",10,0,1
"estufffdn vendiendo modelos fabricados afines suerte tecnologufffda hace aufffdosen tiendas usa vienen modelos superiores",1,0,1
"estupenda cama rosen dormimos bien supr relajante comoda buen colchon dia siguiente queremos levantarnos calor comodidad cama ergo t rosen fantastica u recomiendo producto",1,0,1
"estupenda cómoda firme duermen bien u recomiendo producto",4,0,1
"estupendo horno domufffdstico dispone termostato tres temperaturas mufffds usadas gastronomufffda u recomiendo producto",0,0,0
"etiqueta die fit megan mom stretch verdad pitillo poquitito suelto verdadero mom pedi quedaron bien tiro verdad alto",4,2,1
"excele producto cumple cabalidad expectativas",0,0,0
"excelente",2,0,1
"excelente ¡ ¡ ¡ ¡ lleve playa piscinamuy liviano escucha raja ¡ ¡ ¡ u recomiendo producto",1,0,1
"excelente ¡ ¡ fácil rápida instalación mejor cumple propósito ¡ ¡ ¡ recomiendo super bueno ¡ ¡ u recomiendo producto",4,0,1
"excelente accesorio apple práctico súper rico versátil usar hijo practicum escritura juega señora encantada app dibujo diseño",3,1,1
"excelente accesorio ipad escribir dibujar realizar trazos manera intuitiva tener separar palma mano pantalla",3,0,1
"excelente adquisición cómoda practicum reconfortable duermo placenteramente compre cama cic ortopedic u recomiendo producto",2,0,1
"excelente alternativa dias pan recién horneado días maravillosa u recomiendo producto",2,1,1
"excelente alternativa precio atractivo convertir tv smart tv contento compra",7,0,1
"excelente altura base colchufffdn ruidos precio vale pena u recomiendo producto",1,1,0
"excelente antena pasar stream celular tv u recomiendo producto",1,0,1
"excelente aparato funciona mejor varios smart tv chantas u recomiendo producto",1,0,1
"excelente armado dura cama detalles",2,1,1
"excelente artículo cómodo confortable delicia dormir precio conveniente demás u recomiendo producto",3,2,1
"excelente atención parte encargadas retiro tienda hecho específico encanta experiencia comprar línea tiendas horrible servicio espero sigan así",3,6,0
"excelente bandejas parrilla espacio tamaufffdo bueno u recomiendo producto",4,1,1
"excelente bien producto",1,0,1
"excelente buen colchon firme duro cómodo persona ma menos grandes firme recomendado llego super rapido fecha indicada",3,1,1
"excelente buen sonido buen bajo buena batería buen tamaño buen volumen buena calidad",1,1,0
"excelente buen tamaufffdo estufffdticamente lindo dora bien alimentos cocinan excelente cumple acabalidad necesidades u recomiendo producto",4,0,1
"excelente buena calidad cómodo especial descansar sufro dolor espaldas u recomiendo producto",4,14,0
"excelente buena calidad definitivamente recomendable deben cuidar trazabilidad transportistas tratan productos deben refiero base llegó daño espero mejoren gracias",4,0,1
"excelente buena cama recomenda",1,0,1
"excelente buena compra papa quedan crujientes u recomiendo producto",2,0,1
"excelente buena elección rápido estable batería dura realmente día",2,0,1
"excelente bueno barato además viene aplicación tv",5,1,1
"excelente cablees original alternativodesde falla nunca",1,1,0
"excelente calce ajustado amolda bien cuerpo flexible cómodo quiero comprar colores u recomiendo producto",1,0,1
"excelente calce cómodo elasticado u recomiendo producto",1,0,1
"excelente calce tela horrible llena pelusas inmediato",2,12,0
"excelente calidad bienestar garantizado mejor compra realizado tiempo feliz u recomiendo producto",3,0,1
"excelente calidad buen sonido buenos bajos",1,0,1
"excelente calidad colchon ergonomico terminaron problemas espaldacumple medidas indicadas especificaciones compre oferta despacho impecable u recomiendo producto",4,0,1
"excelente calidad colchón solo base venía falla soportes anclar patas mal anclado base apernar",1,5,0
"excelente calidad comienzo siente duro después adapta cuerpo garantía años u recomiendo producto",2,2,0
"excelente calidad cómoda bonita",1,0,1
"excelente calidad cómoda firme totalmente satisfecha compra recomendable u recomiendo producto",4,0,1
"excelente calidad cómodo dormir u recomiendo producto",2,0,1
"excelente calidad cumple función recomendable",2,0,1
